codigo,nombre,direccion,poblacion,provincia,pais,cp,telefono,fax,p_contacto,observaciones,name
27,TRANSABADELL,C/ Energia esq.Roselló- P.I.FAMADES,CORNELLA,8,34,940,933774949,933774433,,,27
28,"GEFCO, TRANSPORTES",,,8,34,,937297970,937183494,,AEREO 934247404,28
29,"GOMEZ, TRANSPORTES","CIM VALLES Parcela, 5",SANTA PERPETUA DE MOGODA,8,34,,935656910/00,,SR.ANDREU,AT.CLIENTE 935656902,29
30,"DUCO, AGENCIA",,,,34,,937291002,,,,30
31,"ARAGON S.A., TRANSPORTES","C/Tanger, 116-120",BARCELONA,8,34,18,933005267/933007218,933000232,,,31
32,TRANSPORTES GALLASTEGUI,Pol.Ind.SANT Antoni parcela 9,SANT VICENC DELS HORTS,,34,,936768811,936563344,,,32
33,GRAU. TRANSPORTES J.,"Alava, 22 / Pere IV, 64",BARCELONA,8,34,,,,,,33
99,SUS MEDIOS,,,,,,,,,,99
35,"PRATS, TRANSPORTS","Alava, 108-110",BARCELONA,8,34,,933000097-934851870,recogidas 93-7657028,transportes aspaS,CENTRAL RECADEROS INTERTRANS ESPAÑA S.L.,35
36,COMARQUES CATALANES,"Pere IV, 58",BARCELONA,8,34,,,,,,36
73,TRANSPORTES LA MURCIANA SL,CIM Valles C/D- Pol..Les Minetes,SANTA PERPETUA MOGODA,8,34,130,935443255,935607256,,B29583945,73
38,MASTER CARGO,"Trafalgar, 78",BARCELONA,8,34,,,,,,38
39,"REDUR, TRANSPORTES",,,,34,,932631616,932634488,,,39
98,NUESTROS MEDIOS,,,,,,,,,,98
41,AGRUPAT,"C/Bolivia, 50-52",BRCELONA,8,34,,,,,,41
100,VILANOVA EXPRESS,C/Pujades 48,BARCELONA,8,34,8,933097977/936530250,,,,100
42,H.F. ARGUMBAU,Pol.Ind.Zona Franca Sector F c/43,BARCELONA,8,34,4,933357353,933366111,,,42
43,"MONTILLA, TRANSPORTES(TRANSBERTRAN)","Luchana,75",BARCELONA,8,34,18,933098062,,RECOGIDAS 935749950,COMERCIAL CATALANA DE TRANSPORTES,43
44,TASMAR S.A.,"P.I.Zona Franca, S/F C/43 s/n",BARCELONA,8,34,40,902108938,932649866,,recogidas.tasmar.bcn@ral.es,44
45,"TDN, TRANSPORTES","CIM Valles, s/n",SANTA PERPETUA DE LA MOGODA,8,34,130,935655601,,,,45
101,D4,,BARCELONA,8,34,,3075500,,,DELEGACION DE MADRID -VISMA TELF.91-6420237-,101
47,LABARTA,,CASTELLBISBAL,8,34,,937767601/937767600,,,,47
48,COMERCIAL CATALANA DE TRANSPORTES,"Luchana, 75",BARCELONA,8,34,5,,,,,48
49,"COSTA, TRANSPORTES","Espronceda, 34 - Pamplona, 60",BARCELONA,8,34,,,,,,49
51,TRANSPORTS GIRONA,"Badajoz, 176",BARCELONA,8,34,18,,,,,51
52,OCHOA,"Av.de las Garrigas,5-7 P.Masablau",EL PRAT DE LLOBREGAT,8,34,820,934794000,,AT.CLIENTE 934794004,DELEG.BARBERA 937299696  SRTA.CONCHITA -ENCARGADA-,52
54,"TRANSPORTES ""T y D""",Carretera del Medio 82-86,HOSPITALET DE LLOBREGAT,8,34,907,933386141,,,,54
55,INTEGRA 2 (TRANSPORTES T2),LOS POZOS -S/N POL NORDESTE,SANT ANDREU DE LA BARCA,8,34,740,936369105/RECOGIDAS,936369150,JAJO (JEFE TRAFICO),ATENCIÓN AL CLIENTE  : 93-6369105,55
56,"BADOC-TBC, TRANSPORTES","Espronceda,172-174 -Esquina Bolivia",BARCELONA,8,34,18,902-402204,933080247,,,56
57,TEIDE -MANDIOLA,,,,,,933386141,,,,57
58,TRANSERRA,POLIGONO PRATENSE,PRAT DE LLOBREGAT,8,34,,934782000,,,,58
59,DOMAN,,GRANOLLERS,8,34,,938464660,,,,59
60,TRAFICO BALEAR-BARCELONA DE GRUPAJE,,BARCELONA,8,34,40,932623077,,,,60
61,"COCHARRERA, TRANSPORTES","Peru, 122",BARCELONA,8,34,,,,,RECADEROS DE BARCELONA TELF.933074839/933079551,61
62,"MUNTANE, TRANSPORTES","C/Alava, 108-110",BARCELONA,8,34,,,,,,62
63,LINEA-10,"Badajoz, 125",BARCELONA,8,34,18,933096000,933000055,,BARCELONA VELASCO EXPRESS 933096000,63
64,TRANSARDA (NEW TRANSPORT),,,8,34,,902410041,,,DELEG.VALENCIA NEW TRANSPORT 965284622,64
65,TRANSPORTES SOUTO,Pol.Ind.Can Prat.Avda.Pio XII s/n,MOLLET DEL VALLES,8,34,100,935798250,935937913,,DELEG.BILBAO 946715791,65
66,BRUNET OLIVA S.L.,"C/Josep Comas i Sola, 19A",MANRESA,8,34,,938772323,938773622,,,66
67,"HEREDERO S.A., TRANSPORTES E.",,MONTCADA I REIXAC,8,34,,935650940,,,,67
68,TNT,,,,,,902111868-935656900,,,TYCO.730630 - CISA.107596 - CILGRVE LDA.17004 - ELCO 28200,68
69,"AGREDA, TRANSPORTES",,,8,34,,933007860,,,,69
50,MRW,,PALLEJA,8,34,740,930132930,,,HISPANA MAQ.(7797) UCAN 1055 DTO.12/01,50
71,"TORT, TRANSPORTES HNOS.",,,,,,938593111,,,,71
74,BUFI ESCAPA LOGISTICA SL,CIM VALLES -C/ E Parcelan 8.2,,8,34,,935749860,935749861,,,74
75,NACEX,,,,,,937769757-902474100,,,,75
76,HISPAN EXPRESS,,,,,,935605800,,SR.FELIX,,76
77,TOURLINE-EXPRESS,"Plaza del Dol, 3-4 local 1",MARTORELL,8,34,60,937743150,937740229,,,77
78,BOX BALEAR-Grapsa Transportes SL,"c/Atlantic,126-Zona ZAL",BARCELONA,8,34,40,902193668,902193729,,,78
79,RHENUS LOGISTICS S.A.,Pg.Pratense Calle 100 n.20,EL PRAT DE LLOBREGAT,8,34,820,934798900,934798990,,NIF.A08211989,79
80,ENVIALIA,,SANT ANDREU DE LA BARCA,8,34,740,936356309,,,,80
81,ACC EXPRESS **CERRADA**,"Roger de Flor, 45-47 esc A entlo",BARCELONA,8,34,30,932655253,932652171,FRANCISCO SALGADO,,81
82,TRANS-ESCAPA SA.,,OLOT,17,34,,972264966,,,,82
40,VICTRANSA,,VIC,8,34,500,938869282,938833432,,,40
6,AGENCIA POL,Pol.Ind. Lluis Companys,MONTBLANC,43,34,400,977860222,,,ANTES POLICAP-TRANSP.PINYA,6
37,TRANSPORTES AZKAR,C.I.M. DEL VALLES P-9,STA.PERPETUA DE LA MOGUDA,8,34,130,935653838/935653820,,,RECOGIDAS 934794400(EL PRAT) REPARTO 938066600(IGUALADA),37
70,SCHENKER LOGISTICS,C/ C nº2 Sector B ZONA FRANCA,BARCELONA,8,34,40,934042689,934042676,JORDI VELASCO 934042660,,70
8,DHL-PARCEL,Pol.Ind.Las Minetas Parcelas 2 y 3,SANTA PERPETUA MOGUDA,8,34,130,902123030,935656570,BUZON VOZ 935745874,01/01/2000 DIMENS. MAYOR A 2 MTRS NO RECOGEN SIN CONFORMIDAD,8
53,TISA LOGISTIC SL (COALTRANS),"C/PAMPLONA, 62-64",BARCELONA,8,34,18,972570941,,,TEL 3005727-SOLO RECEPCION,53
