ccc1,ccc2,nombre,direccion,poblacion,provincia,pais,cp,telefono,fax,p_contacto,swift,iban,ccc1_id,name
2100,3200,BARCELONA,,BARCELONA,8,34,,,,,,,2100,2100_3200
2074,0089,OFICINA 89,"Avda. Barcelona, 13",IGUALADA,8,34,,,,,,,2074,2074_0089
0081,0405,BS,,,8,34,,,,,,,0081,0081_0405
0104,0634,PALMA DE MALLORCA,Gran Via Asima-AG.7,PALMA DE MALLORCA,7,34,141,,,,,,0104,0104_0634
2077,813,BANCAJA,,,,34,,,,,,,2077,2077_813
0075,0468,LLISSA D'AMUNT,"Anselm Clave,108",LLISSA D'AMUNT,8,34,186,,,,,,0075,0075_0468
0015,4580,SANT FELIU DE LLOBREGAT,"Plaza de la Villa,3",SANT FELIU DE LLOBREGAT,8,34,980,,,,,,0015,0015_4580
2081,0045,MOLINS DE REY,"Pompeu Fabra, 1",MOLINS DE REY,8,34,750,,,,,,2081,2081_0045
0081,0013,MOLLET,,MOLLET,8,34,100,,,,,,0081,0081_0013
2100,1925,SANT BOI,,,8,34,,,,,,,2100,2100_1925
2086,0245,ZARAGOZA,,,,34,,,,,,,2086,2086_0245
3035,0178,VITORIA,"C/Logroño, 13",VITORIA,1,34,13,945-269511,,SR.TXUS(DIRECTOR),,,3035,3035_0178
0049,0972,BSCH,,,8,34,,,,,,,0049,0049_0972
0128,0150,BANKINTER,,,33,34,,,,,,,0128,0128_0150
2038,2829,CM,,,28,34,,,,,,,2038,2038_2829
0127,2106,GANDIA,,,,,,,,,,,0127,0127_2106
2090,0020,CASTELLA,"Plaza Soledad, 1",,,34,,,,,,,2090,2090_0020
2091,a0001,CAG,,,,34,,,,,,,2091,2091_a0001
2100,1912,LLIçA DE MUNT,,,,,,,,,,,2100,2100_1912
s0001,0001,BLAY,"Rambla Catalunya, 89 2º 2ª",BARCELONA,8,34,8,4879200,,LUIS-SINIESTROS,,,s0001,s0001_0001
0019,0028,DB,,,,,,,,,,,0019,0019_0028
0104,0335,VILANOVA I GELTRU,"Rambla Principal, 120",VILANOVA I LA GELTRU,8,34,800,,,,,,0104,0104_0335
0085,0789,RUBI,,,8,34,,,,,,,0085,0085_0789
2013,0172,MOLINS DE REI,"Plaza Mercat, 1",MOLINS DE REI,8,34,750,6680287,,,,,2013,2013_0172
0081,0230,BS,,,,,,,,,,,0081,0081_0230
0049,2496,MALGRAT,,MALGRAT,8,34,,,,,,,0049,0049_2496
0049,3406,AG. MOLINS DE REY,"Barraquer, 18",MOLINS DE REY,8,34,750,6680858,,,,,0049,0049_3406
0063,0080,SANT ADRIA DEL BESOS,,,8,34,262,,,,,,0063,0063_0080
0075,1101,SANT ANDREU DE LA BARCA,"C/Del Sol, 15",SANT ANDREU DE LA BARCA,8,34,740,6823977,6823986,,,,0075,0075_1101
0015,4051,BC,,,,34,,,,,,,0015,0015_4051
0015,4166,BC,,,,34,,,,,,,0015,0015_4166
0015,4228,BC,,,,34,,,,,,,0015,0015_4228
0015,4412,BC,,,,34,,,,,,,0015,0015_4412
0015,4521,HOSPITALET DE LLOBREGAT,"PL. Mestre Clave, 2",HOSPITALET DE LLOBREGAT,8,34,,,,,,,0015,0015_4521
0019,0105,DB,,,,,,,,,,,0019,0019_0105
0020,9475,BANCO DEL COMERCIO,,,,,,,,,,,0020,0020_9475
0030,2196,BANESTO,,,,34,,,,,,,0030,0030_2196
0030,2234,BANESTO,,,,34,,,,,,,0030,0030_2234
2074,0073,SANT BOI,,,,,,,,,,,2074,2074_0073
0049,0944,AMPOSTA,,AMPOSTA,43,34,870,,,,,,0049,0049_0944
0042,a0001,BG,,,,34,,,,,,,0042,0042_a0001
0049,1912,SANT FELIU DE LLOBREGAT,"J.A.Samaranch, 26",SANT FELIU DE LLOBREGAT,8,34,980,,,,,,0049,0049_1912
0049,0045,MAHON,"Deya, 5",MAHON,7,34,,,,,,,0049,0049_0045
0049,0070,BSCH,,,,,,,,,,,0049,0049_0070
0049,0194,BSCH,,,,,,,,,,,0049,0049_0194
0049,0612,BSCH,,,,,,,,,,,0049,0049_0612
0049,0898,BSCH,,,,,,,,,,,0049,0049_0898
0049,1869,BSCH,,,,,,,,,,,0049,0049_1869
0049,1895,BSCH,,,,,,,,,,,0049,0049_1895
0049,2511,BSCH,,,,,,,,,,,0049,0049_2511
0049,2908,BSCH,,,,,,,,,,,0049,0049_2908
0049,2946,BSCH,,,,,,,,,,,0049,0049_2946
0104,0224,SANT BOI DE LLOBREGAT,"Francesc Maciá, 71",SANT BOI DE LLOBREGAT,8,34,830,,,,,,0104,0104_0224
0075,0713,BENICARLO,,,,,,,,,,,0075,0075_0713
0049,1902,BSCH,,,,,,,,,,,0049,0049_1902
0081,a0001,BS,,,,34,,,,,,,0081,0081_a0001
0081,a0002,BS,,,,34,,,,,,,0081,0081_a0002
0081,a0004,BS,,,,34,,,,,,,0081,0081_a0004
0081,a0005,BS,,,,34,,,,,,,0081,0081_a0005
0081,0002,BS,"PL.FRANCESC LAYRET, ",CERDANYOLA,8,34,50,,,,,,0081,0081_0002
0081,0003,BS,,,,34,,,,,,,0081,0081_0003
0081,0006,SANT BOI DE LLOBREGAT,"11 de Setembre, 44",SANT BOI DE LLOBREGAT,8,34,830,,,,,,0081,0081_0006
0081,0009,BS,,,,34,,,,,,,0081,0081_0009
0081,0011,BS,,,,34,,,,,,,0081,0081_0011
0081,0012,BS,,,,34,,,,,,,0081,0081_0012
0081,0017,MARTORELL,Pza. Portal de Anoia,MARTORELL,8,34,760,,,,,,0081,0081_0017
0081,0025,BS,"Passeig de Gracia,36",BARCELONA,8,34,7,,,,,,0081,0081_0025
0112,8005,BUU,,,,,,,,,,,0112,0112_8005
0081,0038,BS,,,,34,,,,,,,0081,0081_0038
0081,0041,BS,,,,34,,,,,,,0081,0081_0041
0081,0052,BS,,,,34,,,,,,,0081,0081_0052
0081,0055,HOSPITALET,"Rosendo Arus, 7",L'HOSPITALET,8,34,901,,,,,,0081,0081_0055
0081,0061,POLINYA,"Cart. de Senmenat, 101",POLINYA,8,34,213,,,,,,0081,0081_0061
0081,0065,BS,,,,34,,,,,,,0081,0081_0065
0081,0086,OFC. PRINCIPAL,"PL. JOSEP PLA, 5",GIRONA,17,34,,972-226300,972-226234,,,,0081,0081_0086
0081,0096,BS,,,,34,,,,,,,0081,0081_0096
0081,0111,BS,,,,34,,,,,,,0081,0081_0111
0081,0137,BS,,,,34,,,,,,,0081,0081_0137
0081,0145,BS,,,,34,,,,,,,0081,0081_0145
0081,0156,BS,,,,34,,,,,,,0081,0081_0156
0081,0235,BS,,,,34,,,,,,,0081,0081_0235
0081,0311,BS,,,,34,,,,,,,0081,0081_0311
0081,0330,SANT FELIU FRUITOS BAGES,,SANT FRUITOS,,34,,,,,,,0081,0081_0330
0081,0341,BS,,,,34,,,,,,,0081,0081_0341
0081,0372,BS,,,,34,,,,,,,0081,0081_0372
0081,0900,BS,,,,34,,,,,,,0081,0081_0900
0049,2963,CERDANYOLA,"Avda. Primavera, 1",CERDANYOLA,8,34,,,,,,,0049,0049_2963
0030,2254,ST.VICENCS DELS HORTS,,,8,34,,,,,,,0030,0030_2254
0085,0920,SEVILLA,"Tetuan, 12",SEVILLA,41,34,7,,,,,,0085,0085_0920
0085,a0007,BS,,,,34,,,,,,,0085,0085_a0007
0085,0446,GRANOLLERS,"Pza. Perpiña,23",GRANOLLERS,8,34,,,,,,,0085,0085_0446
0019,0088,AG.RIUS I TAULET,"Pl. Rius i Taulet,14",BARCELONA,8,34,12,,,,,,0019,0019_0088
0049,3277,PALAFRUGELL,,PALAFRUGELL,17,34,200,,,,,,0049,0049_3277
0103,93,BZ,,,,34,,,,,,,0103,0103_93
0104,0205,BEE,,,,34,,,,,,,0104,0104_0205
0104,0215,BEE,,,,34,,,,,,,0104,0104_0215
0104,0217,BEE,,,,34,,,,,,,0104,0104_0217
0104,0294,BEE,,,,34,,,,,,,0104,0104_0294
0049,1883,BSCH,,,,,,,,,,,0049,0049_1883
0128,0892,BANKINTER,,,,34,,,,,,,0128,0128_0892
0128,9455,BANKINTER,,,,34,,,,,,,0128,0128_9455
0182,a0001,BBVA,,,,34,,,,,,,0182,0182_a0001
0182,a0002,BBVA,,,,34,,,,,,,0182,0182_a0002
0182,0508,VALENCIA,C/Centelles,VALENCIA,46,34,6,,,,,,0182,0182_0508
0182,1413,BBVA,,,,34,,,,,,,0182,0182_1413
0049,0561,AG. SANTA EULALIA,,,,,,,,,,,0049,0049_0561
0182,2398,BBVA,,,,34,,,,,,,0182,0182_2398
0182,500,BBVA,,,,34,,,,,,,0182,0182_500
0182,5417,BBVA,,,,34,,,,,,,0182,0182_5417
0182,6261,BBVA,,,,34,,,,,,,0182,0182_6261
0182,6378,TORELLO,,,,34,,,,,,,0182,0182_6378
2074,44,CET,,,,34,,,,,,,2074,2074_44
2081,0156,CP,,,,34,,,,,,,2081,2081_0156
2090,0229,CAM,,,,34,,,,,,,2090,2090_0229
2100,3296,CEPB,"Gran Via de les Corts Catalanes,289",BARCELONA,8,34,14,,,,,,2100,2100_3296
0049,2565,BSCH,,SANT CELONI,8,34,460,,,,,,0049,0049_2565
2041,0020,PUIG-REIG,,PUIG-REIG,8,34,692,,,,,,2041,2041_0020
0042,0140,BG,,,,,,,,,,,0042,0042_0140
0081,0154,TORELLO,"Pl. Nova, 12",TORELLO,8,34,570,938592352,938504765,,,,0081,0081_0154
0081,0036,BS,,,,,,,,,,,0081,0081_0036
0049,0249,BONANOVA,"Passeig Bonanova, 108",,,,,,,,,,0049,0049_0249
0049,0522,BSCH,,,,,,,,,,,0049,0049_0522
2013,0139,PARETS DEL VALLES,,PARETS DEL VALLES,8,34,,,,,,,2013,2013_0139
0182,5421,SANT BOI DE LLOBREGAT,"Victor Balaguer,53",SANT BOI DE LLOBREGAT,8,34,830,,,,,,0182,0182_5421
0049,1871,BSCH,,,,,,,,,,,0049,0049_1871
0049,3541,MADRID,"Avda. de Moratalaz, 201",MADRID,28,34,30,,,,,,0049,0049_3541
0030,2240,PARETS,"Mossen Pere Batlle,12",PARETS DEL VALLES,8,34,150,,,,,,0030,0030_2240
3035,0168,SUCURSAL-168,"CL MADALEN ERROTA, 7",ARRIGORRIAGA,48,34,480,,,,CLPEES2MXXX,,3035,3035_0168
2038,8907,,,,8,34,,,,,,,2038,2038_8907
2018,0106,CB,,,,,,,,,,,2018,2018_0106
0030,2290,BANESTO,,,,,,,,,,,0030,0030_2290
0049,2483,BSCH,,,,,,,,,,,0049,0049_2483
2041,0054,MARTORELL,,,,,,,,,,,2041,2041_0054
0104,0733,HOSPITALET,"PRAT DE LA RIBA, 131-137",HOSPITALET,8,34,907,,,,,,0104,0104_0733
0182,0835,STA.COLOMA DE GRAMANET,,,,,,,,,,,0182,0182_0835
0049,0610,ST.FELIU DE LLOBREGAT,"C/De dalt, 13",SANT FELIU DE LLOBREGAT,8,34,980,,,,,,0049,0049_0610
0049,1852,BSCH,,,,,,,,,,,0049,0049_1852
0015,4511,RONDA UNIVERSIDAD,Ronda Universidad,BARCELONA,8,34,,,,Srta. Isabel,,,0015,0015_4511
2059,0676,AG. VILDECANS,,,,,,,,,,,2059,2059_0676
0081,0005,AG. CORNELLA,"Anselmo Clave, 35",CORNELLA,8,34,,,,,,,0081,0081_0005
0081,0083,BS,,,,,,,,,,,0081,0081_0083
0081,0053,"CAPITAN ARENAS, 26","Capitan Arenas, 26",BARCELONA,8,34,,,,,,,0081,0081_0053
0081,0023,BS,,,,,,,,,,,0081,0081_0023
0015,4337,BC,,,,,,,,,,,0015,0015_4337
0182,5930,BBVA,,,,,,,,,,,0182,0182_5930
0103,0369,BZ,,,,,,,,,,,0103,0103_0369
0015,4370,BC,,,,,,,,,,,0015,0015_4370
0182,0213,BBVA,,,,,,,,,,,0182,0182_0213
2100,1303,CEPB,,,,,,,,,,,2100,2100_1303
2100,0497,CEPB,,,,,,,,,,,2100,2100_0497
0049,2964,BSCH,,,,,,,,,,,0049,0049_2964
0049,1884,BSCH,,,,,,,,,,,0049,0049_1884
2100,3119,CEPB,,,,,,,,,,,2100,2100_3119
0049,0006,BSCH,,,,,,,,,,,0049,0049_0006
0182,0044,BBVA,,,,,,,,,,,0182,0182_0044
2095,5202,bilbao,,,,,,,,,,,2095,2095_5202
0081,0383,LA FERRERIA,,MONTCADA I REIXACH,8,34,,,,,,,0081,0081_0383
3701,0600,BNP PARIBAS FACTOR,"Willsätterstr, 15",DÜSSELDORF,,61,549,,,,GEBADE33,,3701,3701_0600
0019,0064,RUBI,"Avda. Barcelona, 8 i 10",RUBI,8,34,191,,,,,,0019,0019_0064
0182,2338,BBVA,"Francesc Layret, 101",BADALONA,8,34,911,,,,,,0182,0182_2338
0049,5210,MOLINS DE REY,"Barraquer, 18",MOLINS DE REY,8,34,750,,,,,,0049,0049_5210
0075,0368,Ofic.0368,"Riera, 29",CANOVELLES,8,34,920,,,,,,0075,0075_0368
0182,2372,"",Pz de la Pau s/n. Edif.3,L'HOSPITALET DE LLOBREGAT,8,34,901,,,,,,0182,0182_2372
0081,0056,0056-VIC,"RAMBLA HOSPITAL, 6",VIC,8,34,0,,,,,,0081,0081_0056
3058,0531,CAJAMAR,,,,,,,,,,,3058,3058_0531
3191,0232,BANTIERRA,"C/Santa Teresa, 1",UTEBO,50,34,80,,,,,,3191,3191_0232
3025,0014,SANT CUGAT,,SANT CUGAT DEL VALLES,8,34,172,,,,"",,3025,3025_0014
0081,0076,SANT ANDREU DE LA BARCA,"C/ Mayor, 16",SANT ANDREU DE LA BARCA,8,34,740,936530853,936532611,"",BSABESBB,,0081,0081_0076
2100,3181,,,HOSPITALET DE LLOBREGAT,8,34,902,,,,,,2100,2100_3181
3003,,,,,,,,,,,,,3003,3003_
3003,0880,,,,,,,,,,,,3003,3003_0880
